Date,Month,Day,Type
01/01/2025,1,Wednesday,Weekday
02/01/2025,1,Thursday,Weekday
03/01/2025,1,Friday,Weekday
04/01/2025,1,Saturday,Weekend
05/01/2025,1,Sunday,Weekend
06/01/2025,1,Monday,Weekday
07/01/2025,1,Tuesday,Weekday
08/01/2025,1,Wednesday,Weekday
09/01/2025,1,Thursday,Weekday
10/01/2025,1,Friday,Weekday
11/01/2025,1,Saturday,Weekend
12/01/2025,1,Sunday,Weekend
13/01/2025,1,Monday,Weekday
14/01/2025,1,Tuesday,Weekday
15/01/2025,1,Wednesday,Weekday
16/01/2025,1,Thursday,Weekday
17/01/2025,1,Friday,Weekday
18/01/2025,1,Saturday,Weekend
19/01/2025,1,Sunday,Weekend
20/01/2025,1,Monday,Weekday
21/01/2025,1,Tuesday,Weekday
22/01/2025,1,Wednesday,Weekday
23/01/2025,1,Thursday,Weekday
24/01/2025,1,Friday,Weekday
25/01/2025,1,Saturday,Weekend
26/01/2025,1,Sunday,Weekend
27/01/2025,1,Monday,Weekday
28/01/2025,1,Tuesday,Weekday
29/01/2025,1,Wednesday,Weekday
30/01/2025,1,Thursday,Weekday
31/01/2025,1,Friday,Weekday
01/02/2025,2,Saturday,Weekend
02/02/2025,2,Sunday,Weekend
03/02/2025,2,Monday,Weekday
04/02/2025,2,Tuesday,Weekday
05/02/2025,2,Wednesday,Weekday
06/02/2025,2,Thursday,Weekday
07/02/2025,2,Friday,Weekday
08/02/2025,2,Saturday,Weekend
09/02/2025,2,Sunday,Weekend
10/02/2025,2,Monday,Weekday
11/02/2025,2,Tuesday,Weekday
12/02/2025,2,Wednesday,Weekday
13/02/2025,2,Thursday,Weekday
14/02/2025,2,Friday,Weekday
15/02/2025,2,Saturday,Weekend
16/02/2025,2,Sunday,Weekend
17/02/2025,2,Monday,Weekday
18/02/2025,2,Tuesday,Weekday
19/02/2025,2,Wednesday,Weekday
20/02/2025,2,Thursday,Weekday
21/02/2025,2,Friday,Weekday
22/02/2025,2,Saturday,Weekend
23/02/2025,2,Sunday,Weekend
24/02/2025,2,Monday,Weekday
25/02/2025,2,Tuesday,Weekday
26/02/2025,2,Wednesday,Weekday
27/02/2025,2,Thursday,Weekday
28/02/2025,2,Friday,Weekday
01/03/2025,3,Saturday,Weekend
02/03/2025,3,Sunday,Weekend
03/03/2025,3,Monday,Weekday
04/03/2025,3,Tuesday,Weekday
05/03/2025,3,Wednesday,Weekday
